Read value: [xxxxxxxx] | [xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx]
Read value: [xxxxxxxx] | [xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx]
Read value: [ffffffff] | [11111111111111111111111111111111]
Read value: [ffffffff] | [11111111111111111111111111111111]
Read value: [ffffff8f] | [11111111111111111111111110001111]
Read value: [ffffff8f] | [11111111111111111111111110001111]
Read value: [fffffffb] | [11111111111111111111111111111011]
Read value: [fffffffb] | [11111111111111111111111111111011]
Read value: [ffffaafb] | [11111111111111111010101011111011]
Read value: [ffffaafb] | [11111111111111111010101011111011]
Read value: [0001aafb] | [00000000000000011010101011111011]
