Register [ 7] written with value: [ffffffff] | [4294967295]
Register [ 9] written with value: [ffffffff] | [4294967295]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
Register [12] written with value: [00000018] | [        24]
Register [ 4] written with value: [00000000] | [         0]
Register [ 6] written with value: [00000000] | [         0]
